Location;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;prelim 2023;change;change.1;Growth PA
MAMBOURIN;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;329500;597500;631500;652500.0;6.0;N/A;N/A
MANIFOLD HEIGHTS;425000;532500;489000;489500;620000;721500;785500;715000;825000;924500;1075000;850000.0;16.0;153.0;9.7
MANOR LAKES;345000;340500;360000;385000;417500;490000;526000;533000;570000;596000;648000;605500.0;9.0;88.0;6.5
MANSFIELD;315000;364000;347000;367500;359000;385000;430000;450000;510000;640000;732500;730000.0;14.0;133.0;8.8
MARENGO;450000;750000;382500;577500;599000;670000;597500;687500;750000;1075000;1600000;N/A;49.0;256.0;13.5
MARIBYRNONG;646000;714000;750500;837500;940000;1056000;1050000;961500;936500;1165000;1160000;1055000.0;0.0;80.0;6.0
MARLO;315000;295000;285000;335500;305000;432500;385000;355000;405000;435000;686000;655000.0;58.0;118.0;8.1
MARONG;312500;310000;345000;364000;330000;348000;365000;420000;465000;560000;650000;635000.0;16.0;108.0;7.6
MARSHALL;365000;360000;382500;377000;400000;430000;468000;486500;510000;600000;676500;623500.0;13.0;85.0;6.4
MARYBOROUGH;184000;194000;200000;192500;206500;194000;229500;236000;269500;340000;390000;387500.0;15.0;112.0;7.8
MARYSVILLE;145000;180000;125000;320000;332500;383000;477500;462500;475000;675000;755000;780000.0;12.0;421.0;17.9
MCCRAE;555000;530000;535000;597500;689000;775000;847500;795000;952500;1200000;1280000;1572500.0;7.0;131.0;8.7
MCKENZIE HILL;465000;397000;140000;429500;475000;471500;495000;536500;544500;700000;755000;900000.0;8.0;62.0;5.0
MCKINNON;944000;1025000;1220000;1500000;1657500;1720000;1555000;1520500;1675000;1995000;1975000;1130000.0;-1.0;109.0;7.7
MCLOUGHLINS BEACH;151500;145500;169500;145000;180000;110000;191000;210000;208000;271500;275000;360000.0;1.0;82.0;6.1
MEADOW HEIGHTS;315000;317000;322500;350500;370000;451000;510000;474000;499000;557500;580000;535000.0;4.0;84.0;6.3
MELTON;250000;245000;240000;255000;280500;369000;415000;385000;390000;455000;500000;456000.0;10.0;100.0;7.2
MELTON SOUTH;230000;230000;238000;260000;276000;377000;417000;390000;420000;465000;515000;495000.0;11.0;124.0;8.4
MELTON WEST;283000;285500;290000;295000;330000;409000;453000;428000;470000;515000;551000;550000.0;7.0;95.0;6.9
MENTONE;665000;705000;810000;950000;982500;1097500;1080000;1031000;1050000;1367500;1470000;1436000.0;7.0;121.0;8.3
MENZIES CREEK;465000;515000;428000;580000;597000;640000;760000;682500;745000;1020000;960000;685000.0;-6.0;106.0;7.5
MERBEIN;142500;140500;167000;180000;170000;183500;180000;210000;201500;225000;320000;312500.0;42.0;125.0;8.4
MEREDITH;230000;353000;230000;280000;250000;323500;400000;330500;470000;523000;590500;600000.0;13.0;157.0;9.9
MERINDA PARK;285000;310000;310000;345000;385000;471500;523000;476000;527500;615000;657500;639500.0;7.0;131.0;8.7
MERNDA;374500;375000;370000;410000;430000;525000;573500;552000;570000;670000;680000;642500.0;1.0;82.0;6.1
MERRIGUM;150000;160500;149000;209500;164500;160000;190000;270000;179000;255000;266500;250000.0;4.0;78.0;5.9
MERRIJIG (MANSFIELD);272500;332500;390000;292500;344000;420000;461000;422500;613000;882000;905000;N/A;3.0;232.0;12.8
METUNG;350000;337500;287500;299000;360000;347500;371500;455000;480000;517500;732500;892500.0;42.0;109.0;7.7
MICKLEHAM;N/A;213000;168000;390000;437000;500500;520000;525000;565000;626500;680000;670000.0;9.0;0.0;N/A
MIDDLE PARK;1415000;1587500;2125000;2317000;2238500;2390000;2685000;2775000;2680000;2864000;2750000;2485000.0;-4.0;94.0;6.9
MILDURA;225000;225500;245000;252000;260000;264000;281500;310000;337000;380000;423500;430500.0;11.0;88.0;6.5
MILL PARK;405000;408000;430500;480000;560000;668500;657000;653000;690000;755000;786000;755000.0;4.0;94.0;6.9
MILLGROVE;235000;245000;260000;275000;293500;343000;411000;415000;425000;540000;600000;594000.0;11.0;155.0;9.8
MINERS REST;325000;330000;327500;335000;334000;370000;400000;427500;440000;530000;599500;645000.0;13.0;84.0;6.3
MINYIP;81000;73500;95000;93000;82500;94000;81000;114500;75000;151500;155000;N/A;2.0;91.0;6.7
MIRBOO NORTH;252000;265000;250000;262000;275000;264000;307500;327500;376000;475000;565000;575000.0;19.0;124.0;8.4
MITCHAM;584500;650000;730000;885500;941000;1070000;998000;942000;1066500;1212500;1200000;1155000.0;-1.0;105.0;7.5
MITCHELL PARK;270000;267000;267500;260000;259000;263000;304500;313000;330000;400000;487500;450000.0;22.0;81.0;6.1
MOE;165000;155000;170000;162500;173000;175000;200000;210000;250000;315000;370000;345000.0;17.0;124.0;8.4
MONBULK;380000;395000;425000;471500;521500;608000;650000;630000;650000;790000;799000;815000.0;1.0;110.0;7.7
MONT ALBERT;1177500;1316000;1490000;1863000;1921000;2100000;1990000;1690000;2170000;2372500;2320000;1702000.0;-2.0;97.0;7.0
MONT ALBERT NORTH;780000;995000;1100000;1400000;1490000;1565000;1460000;1380000;1437000;1580000;1643000;1751500.0;4.0;111.0;7.7
MONTMORENCY;561000;570000;614000;732000;780500;890000;926000;860000;913000;1162000;1110000;1173500.0;-4.0;98.0;7.1
MONTROSE;426000;445000;476500;559000;625000;700500;737500;707500;730000;842500;913500;767500.0;8.0;114.0;7.9
MOONEE PONDS;775000;830500;920000;1006000;1110500;1310000;1360000;1300000;1290000;1540000;1550000;1065000.0;1.0;100.0;7.2
MOORABBIN;631000;682000;768000;855000;980000;1160000;1130000;1065000;1072500;1400000;1377500;1312500.0;-2.0;118.0;8.1
MOOROOLBARK;425000;440000;465000;558500;620000;725000;720000;670000;720000;836000;870000;770500.0;4.0;105.0;7.4
MOOROOPN/A;217500;207500;215000;230000;215500;225000;230000;247500;268500;335000;387500;385000.0;16.0;78.0;5.9
MORDIALLOC;642500;680000;755000;850000;933000;1120000;1046500;1017500;1089000;1375000;1327000;1355000.0;-3.0;107.0;7.5
MORNINGTON;501500;525000;558000;641000;745000;800000;850000;810000;895000;1100000;1133500;1050000.0;3.0;126.0;8.5
MORTLAKE;152000;129500;152500;120000;152000;170000;165000;164000;220000;290500;327500;362500.0;13.0;115.0;8.0
MORWELL;150500;160000;150000;150000;153000;170000;167000;179000;200000;275000;325000;315000.0;18.0;116.0;8.0
MOUNT BEAUTY;140000;180000;200000;189500;183000;258000;267500;295000;330000;446000;572500;455000.0;28.0;309.0;15.1
MOUNT CLEAR;305000;286000;288000;322500;345000;345000;379000;396500;414000;505000;522500;500000.0;3.0;71.0;5.5
MOUNT DANDENONG;476500;450000;610000;612500;641000;847000;647500;690000;791000;850000;1075000;750000.0;26.0;126.0;8.5
MOUNT DUNEED;480000;286000;532000;545000;425000;497500;555000;557000;593000;696000;770000;684500.0;11.0;60.0;4.8
MOUNT EGERTON;275000;250000;295000;230000;271500;310000;340500;330000;271000;555000;600000;540000.0;8.0;118.0;8.1
MOUNT ELIZA;680000;750000;777500;832000;950000;1137500;1220000;1180000;1313000;1700000;1725000;1782500.0;1.0;154.0;9.8
MOUNT EVELYN;393000;406000;428500;493500;551000;640000;671500;636000;710000;820000;875000;795000.0;7.0;123.0;8.3
MOUNT HELEN;325000;344000;368000;342000;355000;376000;420000;417000;472500;610000;632500;610500.0;4.0;95.0;6.9
MOUNT MACEDON;543000;662500;600000;635000;750000;665000;859000;775000;1043000;1547500;1330000;1216000.0;-14.0;145.0;9.4
MOUNT MARTHA;715500;730000;745000;785000;965000;1050000;1202500;1262500;1420000;1818000;1880000;1685000.0;3.0;163.0;10.1
MOUNT PLEASANT;259000;276500;269500;293500;297500;293000;350000;377500;415000;498000;530000;560000.0;6.0;105.0;7.4
MOUNT WAVERLEY;733000;820000;950000;1267500;1265000;1416000;1320000;1270500;1300000;1511000;1506000;1407000.0;0.0;105.0;7.5
MULGRAVE;533000;577500;627000;765500;786000;900500;860000;840000;850000;1000000;992000;933000.0;-1.0;86.0;6.4
MURCHISON;183000;186000;155000;165000;187000;254500;225000;244500;291500;400000;450000;410000.0;13.0;146.0;9.4
MURRUMBEEN/A;785000;870000;982500;1204000;1286000;1420000;1343500;1241500;1405000;1695000;1680000;1840000.0;-1.0;114.0;7.9
MURTOA;108500;95000;110000;91000;97500;115000;110000;119000;130000;145000;244500;258500.0;69.0;126.0;8.5
MYRTLEFORD;220000;220000;245000;242000;270500;265000;295000;325000;385000;530000;609000;622000.0;15.0;177.0;10.7
N/AGAMBIE;255000;312500;378000;360500;336000;330000;385000;414000;460000;545000;655000;680000.0;20.0;157.0;9.9
N/AR N/AR GOON;395500;350000;395500;550000;442500;470000;522500;508500;535000;655000;800000;N/A;22.0;102.0;7.3
N/ARRE WARREN;356000;370000;386000;430000;487000;590000;614000;588000;610000;700000;747500;708000.0;7.0;110.0;7.7
N/ARRE WARREN NORTH;660000;682500;822500;771500;900000;1108000;1180000;1075000;1167500;1421500;1600000;1677500.0;13.0;142.0;9.3
N/ARRE WARREN SOUTH;405000;410000;440000;476000;530000;620000;636500;625000;660000;750000;800000;790000.0;7.0;98.0;7.0
N/ATHALIA;205000;165000;190500;178000;185000;232500;210000;229000;256000;265000;350000;375000.0;32.0;71.0;5.5
N/ATIMUK;116000;166000;145000;161000;165500;249500;158500;148500;221000;296000;330000;272500.0;12.0;184.0;11.0
NEERIM SOUTH;265000;340000;336500;280000;330000;320000;406500;413000;473500;530000;600000;707500.0;13.0;126.0;8.5
NELSON;205000;224000;203500;257500;220000;249500;255000;247500;210000;355000;410000;N/A;15.0;100.0;7.2
NERRIN/A;467500;455000;482500;522500;517500;570000;575000;617500;630000;580000;795000;670000.0;37.0;70.0;5.5
NEW GISBORNE;475000;500000;510000;498000;545000;625000;757500;695000;721500;798500;875000;895000.0;10.0;84.0;6.3
NEWBOROUGH;213500;213000;215000;220000;224500;220000;250000;255000;290000;359000;437500;375000.0;22.0;105.0;7.4
NEWCOMB;275000;280000;292000;290500;310000;375000;453500;435000;476000;584000;605000;544000.0;4.0;120.0;8.2
NEWHAVEN;360000;442500;422500;480000;457500;447500;520000;712000;505000;827500;897500;550000.0;8.0;149.0;9.6
NEWINGTON;300000;320000;341000;345000;372500;422500;465000;490000;735000;720000;668000;835000.0;-7.0;123.0;8.3
NEWLANDS ARM;325000;320000;302000;332500;380000;380000;367500;443000;470000;550000;619500;565000.0;13.0;91.0;6.7
NEWPORT;630000;695000;740000;825000;950000;1080000;1059000;1055000;1090000;1288000;1280000;1297500.0;-1.0;103.0;7.3
NEWSTEAD;252000;300000;297500;365000;362000;420000;318500;436000;470000;540000;625000;650000.0;16.0;148.0;9.5
NEWTOWN (GREATER GEELONG);527500;570000;620000;642500;712500;780000;843000;832000;945000;1175000;1220000;1061000.0;4.0;131.0;8.7
NHILL;105000;110000;125000;128000;140000;126500;149000;137000;158500;180000;211000;232500.0;17.0;101.0;7.2
NICHOLS POINT;232000;316500;304000;370000;396000;346000;470000;430000;475000;510000;661000;690000.0;30.0;185.0;11.0
NIDDRIE;666000;700000;747500;832500;910000;1095000;1070000;1070000;1000500;1246000;1305000;903000.0;5.0;96.0;7.0
NOBLE PARK;382000;400000;440000;510000;600000;680000;680000;625500;675000;752000;755000;709000.0;0.0;98.0;7.1
NOBLE PARK NORTH;370000;383000;420000;491500;563000;640000;660000;610000;655500;750000;795000;730000.0;6.0;115.0;7.9
NORLANE;206500;202500;215000;216000;236500;290000;355000;350000;372000;450000;481500;460000.0;7.0;133.0;8.8
NORTH BENDIGO;267000;271000;280000;286000;279000;302000;310000;325000;374000;460500;513000;532500.0;11.0;92.0;6.8
NORTH GEELONG;286500;277000;301000;335000;338500;422000;495000;500000;550500;600000;675000;560000.0;13.0;136.0;9.0
NORTH MELBOURNE;775000;802500;832000;943000;1200000;1380000;1185000;1375000;1150000;1313000;1305000;1080000.0;-1.0;68.0;5.3
NORTH SHORE;284000;354000;403500;561000;533000;511000;497000;552500;615000;670000;795000;1232500.0;19.0;180.0;10.9
NORTH WONTHAGGI;256000;230000;268500;274500;259500;294000;369000;389000;419000;557500;667000;661500.0;20.0;161.0;10.0
NORTHCOTE;786000;818000;935000;1008500;1190000;1325000;1345000;1307500;1413000;1655000;1656000;1690000.0;0.0;111.0;7.7
NOTTING HILL;547000;566500;660000;780000;872500;993000;957500;880000;930000;1141000;1058000;1200000.0;-7.0;94.0;6.8
NUMURKAH;200500;195000;215000;219000;195000;219000;225000;250000;239000;310000;346500;400000.0;12.0;73.0;5.6
NUN/AWADING;591500;637500;721500;880000;970000;1090000;986000;951000;1038500;1250000;1150000;1100000.0;-8.0;94.0;6.9
NYAH WEST;116500;94000;107500;146500;130000;133500;136000;85000;129000;202500;215000;266500.0;6.0;85.0;6.3
OAK PARK;540000;576500;626000;660000;822500;853500;878500;840000;911500;1150000;1155000;840500.0;0.0;114.0;7.9
OAKLEIGH;645000;753500;801500;1002000;1050000;1210000;1250000;1101000;1255000;1389500;1421000;1525000.0;2.0;120.0;8.2
OAKLEIGH EAST;610000;672000;820000;990000;983000;1195000;992500;950000;995000;1187500;1152500;884000.0;-3.0;89.0;6.6
OAKLEIGH SOUTH;590000;603000;700000;830000;890000;1030000;960000;908000;983500;1188500;1171500;1046000.0;-1.0;99.0;7.1
OCEAN GROVE;465000;459000;515000;516500;555000;637000;691000;695000;790000;975500;1136500;1012500.0;17.0;144.0;9.3
OFFICER;429000;344000;339000;375000;440000;480000;548000;540000;571000;650000;700000;700000.0;8.0;63.0;5.0
OFFICER SOUTH;N/A;N/A;N/A;N/A;N/A;283000;569500;714000;770000;703000;850000;855000.0;21.0;N/A;N/A
OLINDA;445000;496000;520000;553500;620000;705000;760000;746500;757500;1125000;935500;809500.0;-17.0;110.0;7.7
OMEO;170000;210000;190000;212500;150000;183000;183500;250000;238000;339000;385000;320000.0;14.0;126.0;8.5
ORBOST;150000;156000;150000;145000;162500;159000;165000;185500;220000;240000;344000;350000.0;43.0;129.0;8.6
ORMOND;857500;997500;1187500;1300000;1550000;1604500;1600000;1475000;1590000;1900000;1875000;1636000.0;-1.0;119.0;8.1
OSBORNE;507500;530000;540500;580000;640000;735000;757000;777500;850500;1112000;1130000;1012500.0;2.0;123.0;8.3
OUYEN;116500;75000;77500;105500;130000;130000;93000;99000;121000;155500;170000;215000.0;9.0;46.0;3.9
PAKENHAM;335000;335000;350000;367000;400000;470000;520000;485000;525000;600000;652000;638000.0;9.0;95.0;6.9
PARADISE BEACH;212500;163500;178000;188500;200000;180000;199000;200000;248000;321500;415000;N/A;29.0;95.0;6.9
PARK ORCHARDS;953000;952500;1103000;1225000;1335000;1450000;1480000;1510000;1530000;1920000;1934000;1729000.0;1.0;103.0;7.3
PARKDALE;677000;760000;860000;965000;1100000;1300000;1245000;1157500;1200500;1540000;1530000;1251500.0;-1.0;126.0;8.5
PARKVILLE;1360000;1200000;1525000;1360500;2130000;2287500;2430000;1480000;1837500;2301500;1910000;2500000.0;-17.0;40.0;3.5
PASCOE VALE;540000;580000;655000;720000;805000;891000;901000;855000;947500;1050000;1105000;897500.0;5.0;105.0;7.4
PASCOE VALE SOUTH;627500;645500;701000;745000;840000;975000;955000;950000;1006000;1299500;1140000;1085000.0;-12.0;82.0;6.2
PATTERSON GARDENS;610000;620000;672000;739000;812000;885000;890000;920000;970000;1155000;1300500;865000.0;13.0;113.0;7.9
PATTERSON LAKES;730000;645000;734000;787500;810000;1021500;1025000;924000;1100000;1308500;1494500;1361000.0;14.0;105.0;7.4
PAYNESVILLE;290000;283000;305000;305000;309000;336500;351500;346000;397000;465000;565000;516000.0;22.0;95.0;6.9
PEARCEDALE;425000;385000;445000;470000;534000;607000;660000;660000;660000;790500;815000;695000.0;3.0;92.0;6.7
PENSHURST;83000;144000;132500;191000;152000;125000;165000;165000;175000;194000;310000;245000.0;60.0;273.0;14.1
PETERBOROUGH;333000;287500;307500;296500;340000;315000;450000;419000;550000;625000;701000;N/A;12.0;111.0;7.7
PIONEER BAY;235000;200000;220000;240000;216000;271500;308000;310000;355000;354000;491500;482500.0;39.0;109.0;7.7
PLENTY;770000;773000;750000;915500;935000;1145000;1350000;1301000;1202500;1605000;1543000;1850000.0;-4.0;100.0;7.2
POINT COOK;435000;450000;445000;465000;505000;590000;630000;635000;664000;739000;780000;750000.0;6.0;79.0;6.0
POINT LONSDALE;700000;700000;707500;655000;641000;780000;840000;827500;880000;1312500;1525000;1847500.0;16.0;118.0;8.1
POOWONG;185000;215000;218000;240000;325000;293000;315000;443000;412500;422500;590000;610000.0;40.0;219.0;12.3
POREPUNKAH;285000;347000;285000;323000;330000;447000;464500;530000;615000;757500;1035000;935000.0;37.0;263.0;13.8
PORT ALBERT;235000;262500;190000;197500;218500;270000;240000;250000;315000;425000;467500;610000.0;10.0;99.0;7.1
PORT FAIRY;410000;400000;425000;447500;473500;500000;651000;620000;670000;950000;1137500;1075000.0;20.0;177.0;10.7
PORT MELBOURNE;962500;995000;917500;1252500;1380000;1485000;1488000;1400000;1595000;1805000;1646000;1735000.0;-9.0;71.0;5.5
PORT WELSHPOOL;266000;201500;244000;200000;380000;247500;295000;315000;310000;447500;510000;N/A;14.0;92.0;6.7
PORTARLINGTON;389000;390000;414500;409000;460000;515000;640000;625000;690000;829500;980000;900000.0;18.0;152.0;9.7
PORTLAND;227500;235000;210000;220000;220000;230000;234500;266000;295000;370000;450000;432500.0;22.0;98.0;7.1
PORTLAND NORTH;226500;300000;248000;330000;340000;360000;367500;276000;507000;470000;560000;750000.0;19.0;147.0;9.5
PORTSEA;1398000;1195000;1305000;1800000;1701000;1925000;2180000;1950000;2530000;3765000;3850000;3500000.0;2.0;175.0;10.7
PRAHRAN;932500;990000;1175000;1350000;1430000;1525000;1578000;1520000;1650000;1831000;1800000;1540000.0;-2.0;93.0;6.8
PRESTON;580000;632500;690000;791000;882000;996000;980000;940000;1026000;1251000;1158000;1079000.0;-7.0;100.0;7.2
PRINCES HILL;928500;1216500;1210000;1280000;1555000;1767500;1650000;2035000;1600000;1992500;1892500;1620000.0;-5.0;104.0;7.4
PYRAMID HILL;100000;112500;117000;112500;112500;112500;100000;120000;117500;128000;230000;210000.0;80.0;130.0;8.7
QUAMBATOOK;N/A;134000;79000;66500;105000;135000;93500;90500;110000;150000;157000;295000.0;5.0;0.0;N/A
QUARRY HILL;300000;385000;355000;377500;349000;362000;407500;395000;430000;540500;613500;538500.0;14.0;105.0;7.4
QUEENSCLIFF;697500;630000;695000;700000;795000;763000;950000;950000;969000;1372000;1725000;776000.0;26.0;147.0;9.5
RAINBOW;69000;62000;77000;68000;59500;82500;99000;75000;82000;112000;141000;152500.0;26.0;104.0;7.4
RAWSON;141500;160500;100000;147000;151000;146500;164000;156000;217500;330000;337000;295000.0;2.0;138.0;9.1
RAYMOND ISLAND;310000;297500;280000;285000;330000;289500;360000;300000;416500;450000;492500;505000.0;9.0;59.0;4.7
RED CLIFFS;154000;163000;151500;175000;165000;223500;211500;217500;270000;311000;325000;334000.0;5.0;111.0;7.8
RED HILL;585000;515000;675000;645000;677500;815000;930000;860000;900000;1550000;1930000;N/A;25.0;230.0;12.7
REDAN;235000;250000;245000;246500;255000;287500;330000;357000;389000;455000;515000;440000.0;13.0;119.0;8.2
RESEARCH;622500;605500;685000;686000;825500;950000;915000;937500;1178000;1201000;1395000;N/A;16.0;124.0;8.4
RESERVOIR;468500;510000;541000;615000;710000;812500;790000;754000;795000;945000;940000;815000.0;-1.0;101.0;7.2
RHYLL;400000;393000;482000;402000;460000;527500;657500;565000;579000;757500;925000;737500.0;22.0;131.0;8.7
RICHMOND;823000;900000;961000;1150000;1265000;1302500;1311000;1260000;1365000;1482500;1396500;1340000.0;-6.0;70.0;5.4
RIDDELLS CREEK;380000;450000;417500;456500;500000;580000;675000;710000;680000;880000;865000;757500.0;-2.0;128.0;8.6
RINGWOOD;503500;552000;660000;777500;837500;910500;896500;801000;900000;1018000;1036500;1047500.0;2.0;106.0;7.5
RINGWOOD EAST;490000;547000;612000;750000;806000;901000;881000;809000;866000;1050000;975000;1025000.0;-7.0;99.0;7.1
RINGWOOD NORTH;564000;630500;662000;783500;844000;960500;920000;870000;957500;1183000;1200000;980000.0;1.0;113.0;7.8
RIPPLESIDE;414000;585000;530000;644000;739000;725000;750000;825000;862000;1100000;1190000;749000.0;8.0;188.0;11.1
RIPPONLEA;1055000;985000;1000000;1360000;1700000;1787500;1564000;1350000;2001000;1892500;1530000;1747500.0;-19.0;45.0;3.8
ROBINVALE;176000;152500;160000;184500;170000;197000;220000;231500;235000;340000;315000;280000.0;-7.0;79.0;6.0
ROCHESTER;210000;189500;215000;235000;239000;242500;236000;255000;237000;350000;432500;250000.0;24.0;106.0;7.5
ROCKBANK;262000;309000;280000;300000;347000;455000;500000;497000;465000;567500;622500;620000.0;10.0;138.0;9.0
ROMSEY;367500;387500;396000;420000;428000;470000;550000;580500;630000;780000;839000;757500.0;8.0;128.0;8.6
ROSANN/A;652500;717500;781500;905000;980000;1175000;1100000;1032500;1122500;1388000;1215000;1170000.0;-12.0;86.0;6.4
ROSEBUD;350000;367000;365000;389000;445000;536000;590000;550000;595000;780000;812500;710500.0;4.0;132.0;8.8
ROSEBUD SOUTH;450000;425000;500000;515000;545000;647500;711500;697000;675000;951000;1085000;1110000.0;14.0;141.0;9.2
ROSEDALE;208500;215000;215000;197000;230000;247000;280000;247000;250000;365000;420000;371500.0;15.0;102.0;7.3
ROWVILLE;530000;570000;617500;710000;778000;867000;838000;815500;838000;1000500;1080000;1050000.0;8.0;104.0;7.4
ROXBURGH PARK;355000;365000;385000;400000;435000;515000;546000;543000;572500;615000;652000;670000.0;6.0;84.0;6.3
RUPANYUP;127000;75000;105000;53500;75000;63500;87000;100500;90000;118000;195000;128000.0;65.0;54.0;4.4
RUSHWORTH;190000;161000;158000;177000;200000;192500;198000;205000;226000;301000;352500;272500.0;17.0;86.0;6.4
RUTHERGLEN;235000;232000;195000;230000;255000;262000;270000;282500;350000;402500;486500;595000.0;21.0;107.0;7.6
RYE;422000;425000;460000;488000;550000;658000;705000;690000;793500;1100000;1192500;1055000.0;8.0;183.0;10.9
SAFETY BEACH;551000;515000;516500;595000;665000;780000;825000;810000;897500;1117000;1250000;1340000.0;12.0;127.0;8.5
SAILORS GULLY;257500;253000;262500;235000;225000;232000;290000;280000;300000;390000;539000;457500.0;38.0;109.0;7.7
SALE;274500;290000;300000;298000;295500;300000;309500;325000;345000;399000;490000;450000.0;23.0;79.0;6.0
SAN REMO;402500;410000;407000;420000;460000;497000;515000;554500;597500;857500;1020000;1040000.0;19.0;153.0;9.7
SANCTUARY LAKES;512500;480000;485000;570000;503000;629000;627500;625000;653500;715000;750000;723000.0;5.0;46.0;3.9
SANDHURST;511500;545000;549000;617500;678500;730000;837500;812500;780000;950000;1009000;929000.0;6.0;97.0;7.0
SANDRINGHAM;1175000;1210000;1305000;1490000;1760000;1862500;1850000;1665000;1850000;2395000;2384000;2090500.0;0.0;103.0;7.3
SANDY POINT;355000;352500;380000;370000;359000;407500;410000;410000;517500;755000;820000;805000.0;9.0;131.0;8.7
SASSAFRAS;397500;632500;556000;562000;653500;775500;750000;805000;770000;860000;1020000;N/A;19.0;157.0;9.9
SAWMILL SETTLEMENT;207000;259000;205500;233000;350000;270000;285000;441000;400000;560000;637500;550000.0;14.0;208.0;11.9
SCORESBY;480000;509000;570000;661000;700000;878500;835000;766500;785000;951500;970500;895000.0;2.0;102.0;7.3
SEA LAKE;65000;80000;75000;90000;75000;70000;110000;100000;106500;125000;173000;99500.0;38.0;166.0;10.3
SEABROOK;403500;422500;402500;456000;509000;635000;672500;626500;652500;730000;755000;750000.0;3.0;87.0;6.5
SEAFORD;392500;419500;450000;475000;580500;700000;695000;655000;700000;850000;880000;796500.0;4.0;124.0;8.4
SEAHOLME;600000;640000;670000;802500;872500;1157500;1015000;1020000;937500;1209500;1120000;N/A;-7.0;87.0;6.4
SEASPRAY;192500;152000;164000;240000;175000;215000;210000;265000;260000;335000;390000;472500.0;16.0;103.0;7.3
SEBASTOPOL;239000;242000;235500;244500;247500;256000;289000;315000;341000;420000;482500;460000.0;15.0;102.0;7.3
SEDDON;670000;675000;730000;830000;934500;982500;1018500;960000;1100000;1244000;1050000;1215000.0;-16.0;57.0;4.6
SELBY;410000;420000;420000;469500;527500;600000;637500;601500;720000;904500;787500;627500.0;-13.0;92.0;6.7
SEVILLE;380000;400000;397500;450000;511500;611500;634500;630000;626000;775000;812500;940000.0;5.0;114.0;7.9
SEVILLE EAST;342500;339500;350000;395000;440000;482500;551500;580000;600000;720000;700000;907500.0;-3.0;104.0;7.4
SEYMOUR;220000;220000;213000;225000;242500;277000;295000;300000;325000;390000;450000;520000.0;15.0;105.0;7.4
SHEPPARTON;240000;247000;243000;250000;265000;261000;275000;282000;310000;370000;430000;450000.0;16.0;79.0;6.0
SHEPPARTON NORTH;284000;346000;375000;348000;361000;347000;334000;393000;379000;425000;616000;N/A;45.0;117.0;8.1
SHOREHAM;618000;607000;620000;903000;868500;970000;1160000;1400000;1077000;1767500;2180000;1483500.0;23.0;253.0;13.4
SILVERLEAVES;505000;508000;460500;484000;446500;515000;721000;618500;775000;982000;990500;1150000.0;1.0;96.0;7.0
SKENES CREEK;532500;465000;435000;491500;520000;517000;580000;667500;815000;952500;1270000;1155000.0;33.0;138.0;9.1
SKIPTON;149000;155000;117500;137000;169000;187500;159500;200000;219500;270000;360000;320000.0;33.0;142.0;9.2
SKYE;390000;395000;413000;430000;479000;570000;611000;597500;610000;742500;770000;730500.0;4.0;97.0;7.0
SMITHS BEACH;430000;372500;390000;455000;470000;458500;589000;624500;695000;837000;980000;1075000.0;17.0;128.0;8.6
SMYTHES CREEK;N/A;N/A;380000;380000;380000;380000;426500;430000;440500;525000;590000;N/A;12.0;N/A;N/A
SMYTHESDALE;207500;260000;207500;225000;250000;315000;290000;342500;475000;522500;550000;532500.0;5.0;165.0;10.3
SOLDIERS HILL;292500;283000;341000;310000;374000;423500;447500;480000;557500;568000;700000;625000.0;23.0;140.0;9.1
SOMERS;692500;657500;755000;696500;755500;820000;888500;950000;980000;1707000;1765000;1542500.0;3.0;155.0;9.8
SOMERVILLE;360000;385000;395000;425000;465000;580000;615000;600000;640000;780000;811000;750000.0;4.0;125.0;8.5
SORRENTO;730000;770000;795000;859000;1130000;1300000;1380000;1470000;1665000;2207500;2355000;2262500.0;7.0;223.0;12.4
SOUTH GEELONG;430000;420500;470000;425000;495000;650000;676000;702500;835000;1000000;970000;850000.0;-3.0;126.0;8.5
SOUTH KINGSVILLE;610000;619500;671000;742000;903000;980000;1000000;859000;992000;1100000;972500;N/A;-12.0;59.0;4.8
SOUTH MELBOURNE;930000;1030000;1200000;1310000;1595000;1532500;1465000;1355000;1580000;1710000;1850000;2045000.0;8.0;99.0;7.1
SOUTH MORANG;420000;415000;420000;450000;502000;610500;634500;625500;636000;728000;765000;710000.0;5.0;82.0;6.2
SOUTH YARRA;1238000;1352500;1450000;1700000;1890000;2035000;1851000;1850000;2059000;2353000;1937500;2700000.0;-18.0;57.0;4.6
SPOTSWOOD;655000;680000;640000;795000;917500;1027500;1080000;950000;985000;1260000;1260000;1360000.0;0.0;92.0;6.8
SPRING GULLY;340000;345000;350000;350000;350000;390000;400000;386500;440000;552500;610000;580000.0;10.0;79.0;6.0
SPRINGVALE;448000;451500;530000;629500;685000;750000;780000;746500;785000;854000;885000;832000.0;4.0;98.0;7.0
SPRINGVALE SOUTH;408000;430000;475000;562000;630000;720000;720000;679000;725000;800000;817500;771000.0;2.0;100.0;7.2
ST ALBANS;348000;350000;373500;428000;500000;610000;626500;594000;600000;675000;680500;650000.0;1.0;96.0;6.9
